20,Jaffa Cafe,4.5,San Luis Obispo,https://www.yelp.com/biz/jaffa-cafe-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,jaffa-cafe-san-luis-obispo
21,Cool Cat Cafe,4,San Luis Obispo,https://www.yelp.com/biz/cool-cat-cafe-san-luis-obispo-3?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,cool-cat-cafe-san-luis-obispo-3
22,Las Delicias,4.5,San Luis Obispo,https://www.yelp.com/biz/las-delicias-san-luis-obispo-2?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,las-delicias-san-luis-obispo-2
23,Blaze Fast Fire'd Pizza,4,San Luis Obispo,https://www.yelp.com/biz/blaze-fast-fired-pizza-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,blaze-fast-fired-pizza-san-luis-obispo
24,Urbane Cafe,4.5,San Luis Obispo,https://www.yelp.com/biz/urbane-cafe-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,urbane-cafe-san-luis-obispo
25,TASTE,4.5,San Luis Obispo,https://www.yelp.com/biz/taste-san-luis-obispo-2?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,taste-san-luis-obispo-2
26,Old San Luis BBQ Co,4.5,San Luis Obispo,https://www.yelp.com/biz/old-san-luis-bbq-co-san-luis-obispo-2?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,old-san-luis-bbq-co-san-luis-obispo-2
27,Pizza La Nova New York Style,4.5,San Luis Obispo,https://www.yelp.com/biz/pizza-la-nova-new-york-style-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,pizza-la-nova-new-york-style-san-luis-obispo
28,Avila Valley Barn,4.5,San Luis Obispo,https://www.yelp.com/biz/avila-valley-barn-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,avila-valley-barn-san-luis-obispo
29,Gino's Pizza,4.5,San Luis Obispo,https://www.yelp.com/biz/ginos-pizza-san-luis-obispo-2?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,ginos-pizza-san-luis-obispo-2
30,Petra,4.5,San Luis Obispo,https://www.yelp.com/biz/petra-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,petra-san-luis-obispo
31,SLO Provisions,4.5,San Luis Obispo,https://www.yelp.com/biz/slo-provisions-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,slo-provisions-san-luis-obispo
32,Firestone Grill,4,San Luis Obispo,https://www.yelp.com/biz/firestone-grill-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,firestone-grill-san-luis-obispo
33,Blast 825 Taproom,4,San Luis Obispo,https://www.yelp.com/biz/blast-825-taproom-san-luis-obispo-3?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,blast-825-taproom-san-luis-obispo-3
34,Goshi Japanese Restaurant,4.5,San Luis Obispo,https://www.yelp.com/biz/goshi-japanese-restaurant-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,goshi-japanese-restaurant-san-luis-obispo
35,Mr. Pickle's Sandwich Shop,4.5,San Luis Obispo,https://www.yelp.com/biz/mr-pickles-sandwich-shop-san-luis-obispo-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,mr-pickles-sandwich-shop-san-luis-obispo-san-luis-obispo
36,Ubatuba Acai,4.5,San Luis Obispo,https://www.yelp.com/biz/ubatuba-acai-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,ubatuba-acai-san-luis-obispo
37,Poke Chef,4.5,San Luis Obispo,https://www.yelp.com/biz/poke-chef-san-luis-obispo-3?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,poke-chef-san-luis-obispo-3
38,Thai Boat,4.5,San Luis Obispo,https://www.yelp.com/biz/thai-boat-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,thai-boat-san-luis-obispo
39,High Street Market & Deli,4.5,San Luis Obispo,https://www.yelp.com/biz/high-street-market-and-deli-san-luis-obispo?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,high-street-market-and-deli-san-luis-obispo
40,Edison,4.5,Houston,https://www.yelp.com/biz/edison-houston?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,edison-houston
41,Yoyo's Hot Dog,5,Houston,https://www.yelp.com/biz/yoyos-hot-dog-houston-14?adjust_creative=W0G1IM24rTZuneG9fLL4Ng&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=W0G1IM24rTZuneG9fLL4Ng,yoyos-hot-dog-houston-14
